time,test 1,test 2,test 3,test 4,test 5
time - seconds (computed after test),deacceleration - kg,deacceleration - kg,deacceleration - kg,deacceleration - kg,deacceleration - kg
0.003249,-0.643429866,-1.344107289,-1.423470129,-1.434048668,-0.935294657
0.00325,-0.512337866,-1.292607289,-1.157544129,-1.272369668,-1.030182657
0.003251,-0.320071066,-1.114702289,-0.715584129,-1.193717668,-0.985238657
0.003252,-0.188980266,-0.925867289,-0.361636329,-1.252706668,-0.865382657
0.003253,-0.065380666,-0.855642289,-0.260509329,-1.377243668,-0.743029857
0.003254,0.056970774,-0.782292289,-0.399090729,-1.366316668,-0.765502657
0.003255,0.068207134,-0.601262289,-0.657528129,-1.150016668,-0.925310657
0.003256,0.076946534,-0.307868289,-0.857910129,-0.800443668,-1.052654657
0.003257,0.198049334,-0.022277639,-0.925326129,-0.411541868,-1.097598657
0.003258,0.302922134,0.158752211,-0.816708129,-0.083815168,-1.087614657
0.003259,0.239249334,0.230540211,-0.580744929,0.088788032,-0.965262657
0.00326,0.035746566,0.230540211,-0.292345329,0.093157432,-0.767999457
0.003261,-0.220192666,0.197767711,-0.050763969,0.001393942,-0.628169057
0.003262,-0.386241866,0.171237211,0.054108651,-0.066336308,-0.563248257
0.003263,-0.377501866,0.141585711,0.037254111,-0.042302998,-0.458375457
0.003264,-0.291355866,0.171237211,0.057854091,0.047275722,-0.248630657
0.003265,-0.241416666,0.346024711,0.220781271,0.149963132,0.058496463
0.003266,-0.213949866,0.552022711,0.460489671,0.239542132,0.348144543
0.003267,-0.154023066,0.581677711,0.657125871,0.291978432,0.510447743
0.003268,-0.017938266,0.466191211,0.761999871,0.241726832,0.460507743
0.003269,0.181818934,0.339782711,0.765743871,0.158702632,0.245768543
0.00327,0.362849334,0.253949211,0.703943871,0.143409032,0.070981263
0.003271,0.426521734,0.269555211,0.688961871,0.257021132,0.046011583
0.003272,0.376582534,0.294525211,0.818177871,0.490799432,0.073478223
0.003273,0.289188534,0.322615711,1.011071871,0.726760332,0.095950943
0.003274,0.195552534,0.378797711,1.099091871,0.811971332,0.123417343
0.003275,0.105661734,0.420933711,0.975491871,0.667772032,0.103442143
0.003276,0.105661734,0.358509711,0.793835871,0.423068832,0.058496463
0.003277,0.256728134,0.239903711,0.690833871,0.307272032,0.013551023
0.003278,0.446498134,0.186843211,0.683345871,0.401220432,-0.001430753
